Dateiname;Prompt für Bildgenerator;Verwendung / OrDateiname;Thema;Prompt
reset bildgenerator und nochmals:



Dateiname;Thema;Prompt
empanadas_header.jpg;Header Bild (Seite oben);A rustic wooden table filled with a variety of freshly baked and fried empanadas from different latin american countries, flour dusting, ingredients like eggs and herbs in background, cinematic lighting, food photography, 8k, wide angle --ar 16:9
empanada_argentina.jpg;Argentinien (Tucumana);Traditional Argentine empanada tucumana, golden baked dough with blistered crust, distinct rope edge twisting, rustic wooden background, warm lighting, close up, high detail, food photography
empanada_chile.jpg;Chile (Pino);Chilean Empanada de Pino, large baked pastry, rectangular shape with thick folded edges, golden brown glaze, rustic setting, glass of red wine in background blurred, food photography
empanada_colombia.jpg;Kolumbien (Mais/Frittiert);Colombian Empanada, fried yellow corn dough, very crispy texture, golden yellow color, half-moon shape, served with a lime wedge and a small bowl of green Aji sauce, street food style, high resolution
empanada_venezuela.jpg;Venezuela (Mais/Süßlich);Venezuelan Empanada, fried corn flour dough, golden crispy bubbling crust, half-moon shape, served on a colorful tropical napkin, soft daylight, appetizing
empanada_saltena.jpg;Bolivien (Salteña);Bolivian Salteña, upright standing baked empanada, football shape with braided seam on top, golden orange glossy crust (achiote), rustic plate, steam rising, food photography
empanada_gallega.jpg;Spanien (Gallega);Empanada Gallega slice, a piece of a large flat galician pie, square cut showing tuna and red pepper filling, flaky yeast dough layers, rustic kitchen table, authentic spanish tapas style
empanada_peru.jpg;Peru (Peruana);Peruvian Empanada, baked golden pastry, lightly dusted with powdered sugar on top, served with a lime wedge on the side, elegant plating, shallow depth of field
empanada_brasil.jpg;Brasilien (Pastel);Brazilian Pastel, large rectangular fried pastry, thin bubbly crispy dough, light golden color, street market setting, fresh sugarcane juice in background, bright lighting
empanada_ecuador.jpg;Ecuador (De Viento);Ecuadorian Empanada de Viento, large fried fluffy pastry, sprinkled with granulated sugar, airy texture, served on a white plate, coffee cup in background
global_pasty.jpg;Cornish Pasty (UK);Traditional Cornish Pasty, D-shaped baked pastry with a thick crimped edge on the side, golden brown crust, rustic wooden board, english pub atmosphere
global_samosa.jpg;Samosa (Indien);Indian Samosas, triangular fried pastry, bubbly crust, golden brown, served with mint chutney and tamarind sauce, spices in background, vibrant colors
global_gyoza.jpg;Gyoza (Japan);Japanese Gyoza dumplings, pan-fried bottom, steamed top, pleated edges, arranged in a row on a ceramic plate, soy sauce dip, chopsticks, moody lighting
global_pierogi.jpg;Pierogi (Polen);Polish Pierogi dumplings, boiled dough, half-moon shape, topped with caramelized onions and butter, served in a rustic bowl, comfort food style
global_borek.jpg;Börek (Türkei);Turkish Sigara Börek, rolled filo pastry cigars, golden fried, stacked on a plate, parsley garnish, turkish tea glass in background, crisp texture

Dateiname;Thema;Prompt
fry_header.jpg;Header: Siedegebäck Mix;A panoramic shot of a rustic bakery table filled with various golden fried pastries like donuts, berliner, churros, and fritters, dusted with powdered sugar, soft morning sunlight, cinematic food photography, 8k, wide angle --ar 16:9
fry_berliner.jpg;Berliner / Krapfen (DE);Classic German Berliner Pfannkuchen, round golden fried dough, sugar coated, a hint of red raspberry jam peeking out, bakery paper background, soft focus, macro details of sugar crystals
fry_chueechli.jpg;Fasnachtschüechli (CH);Swiss Fasnachtschueechli, extremely thin and fragile fried pastry, knee-shaped, covered in white powdered sugar, crispy bubbles texture, rustic wooden table, high contrast
fry_schenkeli.jpg;Schenkeli (CH);Swiss Schenkeli pastry, small oblong fried dough logs, golden brown with the characteristic crack in the middle, lemon zest texture, vintage plate, cozy atmosphere
fry_quark.jpg;Quarkbällchen (DE);German Quarkbaellchen, small irregular round fried curd cheese balls, golden brown crust, rolled in granulated sugar, soft and fluffy inside, served in a ceramic bowl
sied_spritzkuchen.jpg;Spritzkuchen (DE);Eberswalder Spritzkuchen, fried choux pastry rings, glazed with white sugar icing, airy texture, distinct ridges from the star nozzle, bakery setting
fry_mutzen.jpg;Mutzenmandeln (DE/CH);Mutzenmandeln, small almond-shaped fried cookies, golden brown, served in a paper cone at a christmas market, warm bokeh lights in background
sied_krapfen.jpg;Krapfen (AT);Viennese Krapfen, fluffy round doughnut, distinct white ring (collar) around the middle showing perfect proofing, dusted with powdered sugar, apricot jam filling, elegant marble table
fry_donut.jpg;Donut Yeast (USA);Classic American glazed yeast donut, golden fried ring, shiny honey glaze, resting on a wire cooling rack, diner atmosphere, sunlight hitting the glaze
sied_cronut.jpg;Cronut (USA);Cronut pastry, hybrid of croissant and donut, visible laminated dough layers, golden fried, sugar glaze, cross-section showing flaky interior, high definition food photography
fry_beignet.jpg;Beignets (FR/USA);New Orleans style Beignets, square puffy fried dough pillows, buried under a mountain of powdered sugar, Cafe du Monde style, white plate, cup of coffee on side
fry_funnel.jpg;Funnel Cake (USA);American Funnel Cake, a chaotic nest of fried batter strands, golden crispy, sprinkled heavily with powdered sugar, served on a paper plate, carnival fairground background blurred
fry_churros.jpg;Churros (ES);Spanish Churros, star-shaped fried dough strips, coated in cinnamon sugar, dipping into a thick cup of hot chocolate, steam rising, moody lighting
sied_oliebollen.jpg;Oliebollen (NL);Dutch Oliebollen, rustic irregular fried dough balls, raisins visible in the crust, dusted with powdered sugar, winter holiday vibe, festive napkin
fry_loukoumades.jpg;Loukoumades (GR);Greek Loukoumades, small round yeast dough balls, drenched in golden honey syrup, sprinkled with crushed walnuts and cinnamon, mediterranean sunlight, blue and white napkin
fry_zeppole.jpg;Zeppole (IT);Italian Zeppole di San Giuseppe, fried choux pastry ring, topped with a swirl of yellow vanilla pastry cream and a single black amarena cherry, rich detail
fry_cannoli.jpg;Cannoli (IT);Sicilian Cannoli shell, fried bubbly pastry tube, filled with white ricotta cream, pistachio nuts on the ends, rustic italian kitchen background, flour dusting
fry_koeksister.jpg;Koeksisters (ZA);South African Koeksisters, braided fried dough, extremely glossy and sticky syrup coating, golden amber color, bright sunlight highlighting the syrup shine
fry_youtiao.jpg;Youtiao (CN);Chinese Youtiao, long golden brown fried dough sticks, paired together, airy and crispy texture, served next to a bowl of rice congee, bamboo mat background
fry_sopaipilla.jpg;Sopaipillas (CL);Chilean Sopaipillas, round flat fried discs, orange tint from pumpkin dough, needle holes in center, rustic cloth, served with a bowl of Pebre salsa
fry_langos.jpg;Langos (HU);Hungarian Langos, large flat fried yeast dough, topped with white sour cream and shredded cheese, glistening with garlic oil, street food style, handheld

Dateiname;Thema;Prompt
pizza_header.jpg;Header: Pizza Ofen;Traditional wood fired pizza oven with a fresh pizza napoletana inside, flames visible in the back, pizzaiolo shovel, rustic stone surrounding, warm glow, 8k, cinematic, wide angle --ar 16:9
pizza_napoletana.jpg;Pizza Napoletana;Authentic Pizza Napoletana Margherita, leopard spotted puffy cornicione (crust), fresh mozzarella balls, san marzano tomato sauce, fresh basil leaves, wet center, rustic wooden board, soft lighting
pizza_romana.jpg;Pizza Romana Tonda;Pizza Romana Tonda, extremely thin and crispy crust, almost no edge, topped with prosciutto and arugula, crackling texture visible, served on a round plate, high contrast
pizza_pinsa.jpg;Pinsa Romana;Pinsa Romana, oval shaped flatbread pizza, airy and cloudy crust structure, topped with mortadella pistachio and burrata, rustic wooden board, artisan style
pizza_teglia.jpg;Pizza al Taglio;Roman Pizza al Taglio, rectangular slice on a tray, thick but very airy porous dough (alveoli), topped with potato and rosemary, cross section showing air bubbles
pizza_fritta.jpg;Pizza Fritta;Neapolitan Pizza Fritta, deep fried calzone shape, golden puffy bubbly crust, grease paper, street food style, steam rising
pizza_ny.jpg;NY Style Pizza;New York Style Pizza slice, large foldable triangle, thin crust with cheese bubbling and slightly browned, pepperoni slices, paper plate, street background
pizza_chicago.jpg;Chicago Deep Dish;Chicago Deep Dish Pizza, thick pie-like structure in a steel pan, chunky tomato sauce on top of the cheese, lifting a slice with cheese pull
pizza_detroit.jpg;Detroit Style Pizza;Detroit Style Pizza, rectangular steel pan, thick fluffy crust, cheese caramelized at the edges (frico) creating a dark lace, racing stripes of red sauce on top
pizza_calzone.jpg;Calzone;Baked Calzone, folded pizza turnover, golden brown crust, steam escaping from a slit, side of marinara sauce, rustic setting
focaccia_genovese.jpg;Focaccia Genovese;Classic Focaccia Genovese, golden surface with distinct finger dimples filled with olive oil and coarse salt, glistening texture, fresh rosemary sprigs, top down view
focaccia_recco.jpg;Focaccia di Recco;Focaccia di Recco, very thin unleavened dough layers, melted stracchino cheese oozing out, crispy blistered surface, no yeast fluffiness, copper pan background
focaccia_barese.jpg;Focaccia Barese;Focaccia Barese, thick dough with cherry tomatoes and black olives pressed deep into the surface, golden semolina crust, oregano sprinkle, southern italian vibe
focaccia_schiacciata.jpg;Schiacciata Toscana;Tuscan Schiacciata, rustic flatbread, slightly harder crust, sliced open and filled with italian salami and cheese, crumbs on table
flat_flammkuchen.jpg;Flammkuchen (Elsass);Traditional Tarte Flambee (Flammkuchen), extremely thin crispy dough, rectangular shape on wooden peel, spread with creme fraiche onions and bacon lardons, charred edges
flat_pide.jpg;Pide (Türkei);Turkish Pide, boat shaped flatbread with folded edges, filled with minced meat and melted cheese, golden brown crust, sesame seeds on rim
flat_lahmacun.jpg;Lahmacun;Turkish Lahmacun, very thin round dough topped with a thin layer of red minced meat and herb paste, served with lemon wedges and parsley, rolled up
flat_manakish.jpg;Manakish;Levantine Manakish, round flatbread topped with green zaatar oil paste, sesame seeds, baked texture, served with fresh mint and cucumber slices

Dateiname;Thema;Prompt
fladenbrot_header.jpg;Header: Fladenbrote;A rustic woven basket filled with various types of flatbreads like naan, pita, and tortillas, warm sunlight, flour dusting on wooden table, cinematic food photography, 8k, wide angle --ar 16:9
fladen_naan.jpg;Naan (Indien);Indian Naan bread, teardrop shape, blistered brown spots from tandoor oven, brushed with melted ghee and sprinkled with cilantro, garlic pieces, rustic slate background
fladen_chapati.jpg;Chapati (Indien);Stack of Indian Chapati breads, round whole wheat flatbreads, soft brown spots, sitting on a metal thali plate, simple home cooking style
fladen_paratha.jpg;Paratha (Indien);Flaky Indian Paratha, layered flatbread, golden brown crispy swirl pattern, glistening with ghee, torn piece showing the layers
fladen_pita.jpg;Pita (Naher Osten);Freshly baked Pita breads stacked, one cut open to show the large hollow pocket (steam pocket) inside, steam rising, soft floury texture, bakery background
fladen_yufka.jpg;Yufka (Türkei);Turkish Yufka dough sheets, extremely large and paper thin, stacked on a wooden rolling board (sofra), rolling pin (oklava) on the side, flour dusting
fladen_lavash.jpg;Lavash (Armenien);Armenian Lavash, huge thin flatbread sheet hanging or draped over a basket, blistered surface from clay oven, rustic texture
fladen_bazlama.jpg;Bazlama (Türkei);Turkish Bazlama, thick soft round flatbread, golden brown spots from the pan, fluffy texture visible at the edges, breakfast setting with olives
fladen_simit.jpg;Simit (Türkei);Turkish Simit, sesame crusted bread ring, deep golden brown color, twisted dough rope structure, piled on a street vendor cart
fladen_injera.jpg;Injera (Äthiopien);Ethiopian Injera, large round spongy sourdough crepe, distinct porous surface with many small holes (eyes), rolled up on the side, greyish-brown teff color
fladen_batbout.jpg;Batbout (Marokko);Moroccan Batbout, small round pan-baked breads, puffed up slightly, semolina texture on the surface, served in a tagine lid
fladen_tortilla_maiz.jpg;Tortilla Mais (Mexiko);Stack of yellow corn tortillas, rustic handmade look, kept warm in a colorful cloth napkin, steam rising, authentic mexican style
fladen_tortilla_harina.jpg;Tortilla Weizen (Mexiko);Flour Tortillas, soft white flatbreads with light brown toasted spots, flexible texture, stacked on a wooden board
fladen_arepa.jpg;Arepa (Südamerika);Venezuelan Arepa, thick round cornmeal patty, golden crispy crust, sliced open and stuffed with cheese and meat, grill marks visible
fladen_piadina.jpg;Piadina (Italien);Italian Piadina Romagnola, folded flatbread filled with prosciutto di parma and arugula, grill marks on the white dough, rustic italian table

Dateiname;Thema;Prompt
knoedel_header.jpg;Header: Knödel;A rustic table setting featuring a variety of dumplings: German potato dumplings, Asian bamboo steamers with dim sum, and polish pierogi, steam rising, warm lighting, cinematic 8k --ar 16:9
knoedel_semmel.jpg;Semmelknödel;German Bread Dumplings (Semmelknoedel), round sphere with visible parsley and bread chunks, sitting in a dark gravy sauce, rustic plate, soft focus
knoedel_thueringer.jpg;Thüringer Klöße;Thuringian Potato Dumplings, shiny smooth surface, slightly greyish-white potato color, served with roast duck leg and red cabbage, steam rising
knoedel_servietten.jpg;Serviettenknödel;Sliced Bread Dumpling Log (Serviettenknoedel), slices showing the bread texture and herbs, served with creamy mushroom sauce, elegant plating
knoedel_leber.jpg;Leberknödel;Liver Dumpling Soup, a large brownish round dumpling floating in clear beef broth with chives rings, white soup bowl, traditional austrian style
knoedel_maultaschen.jpg;Maultaschen;Swabian Maultaschen, large square pasta pockets filled with meat and spinach, floating in broth with onions, top down view
knoedel_pierogi.jpg;Pierogi;Polish Pierogi dumplings, half-moon shape, boiled and topped with caramelized onions and butter, rustic wooden table, fork on side
knoedel_pelmeni.jpg;Pelmeni;Russian Pelmeni, small ear-shaped meat dumplings, piled in a bowl, dollop of smetana (sour cream) and dill on top, cozy winter vibe
knoedel_khinkali.jpg;Khinkali;Georgian Khinkali, large dumplings with twisted dough handle (knob) on top, pleated folds, steaming hot, black pepper sprinkled, eaten by hand
knoedel_germ.jpg;Germknödel;Austrian Germknoedel, large fluffy yeast dumpling, covered in black poppy seeds and powdered sugar, swimming in vanilla sauce, ski hut atmosphere
knoedel_marillen.jpg;Marillenknödel;Apricot Dumplings (Marillenknoedel), cut open revealing the orange apricot inside, coated in golden buttery breadcrumbs, powdered sugar dusting
knoedel_dampfnudel.jpg;Dampfnudel;Bavarian Dampfnudel, large yeast dumpling with a golden crispy caramelized bottom crust, soft white top, sitting in a cast iron pan
knoedel_hargow.jpg;Har Gow;Dim Sum Har Gow, crystal shrimp dumplings, translucent pleated dough skin showing pink shrimp inside, served in a bamboo steamer, macro shot
knoedel_xiaolongbao.jpg;Xiao Long Bao;Xiao Long Bao soup dumplings, delicate skin, sitting on a spoon, one punctured showing soup broth flowing out, chopsticks holding it
knoedel_wonton.jpg;Wonton;Chinese Wonton soup, thin yellow dough wrappers with pork filling, floating in clear broth with bok choy and chili oil droplets
knoedel_gyoza.jpg;Gyoza;Japanese Gyoza, pan-fried bottom (crispy brown), steamed top, arranged in a row, soy sauce dip on side, chopsticks
knoedel_momo.jpg;Momos;Tibetan Momos, round steamed dumplings with thick dough, served with bright red spicy chutney, rustic presentation
knoedel_gnocchi.jpg;Gnocchi;Italian Potato Gnocchi, small ridged dumplings, tossed in sage butter sauce, parmesan cheese shavings, macro detail of ridges
knoedel_matzah.jpg;Matzah Balls;Matzah Ball Soup, large fluffy balls floating in golden chicken soup with carrots and celery, jewish holiday tradition, comfort food
knoedel_tamales.jpg;Tamales (Kolumbien);Colombian Tamal, wrapped in green banana leaves, steamed, one open showing the yellow corn dough and filling of chicken and carrots, rustic wooden table

Dateiname;Thema;Prompt
spaetzle_header.jpg;Header: Spätzle;A rustic wooden kitchen board filled with freshly made yellow egg spaetzle, flour dusting, raw eggs and a wooden spoon in background, warm alpine light, cinematic 8k --ar 16:9
spaetzle_schaben.jpg;Action: Schaben;Close up action shot of a hand scraping spaetzle dough from a wooden board into boiling water, steam rising, traditional technique, dynamic motion
spaetzle_schwaebisch.jpg;Schwäbische Spätzle;Plate of classic Swabian Spaetzle, irregular long noodles, glistening with butter, served next to a roast beef slice with gravy
spaetzle_knoepfle.jpg;Knöpfle;Swiss Knoepfli, small round button-shaped egg pasta, golden yellow, piled in a bowl, macro shot of texture
spaetzle_kaesspaetzle.jpg;Kässpätzle;Vorarlberger Kaesspaetzle, cheesy noodles pulled high with strings of melted mountain cheese (kaesefaden), topped with crispy fried onions, served in a wooden bowl
spaetzle_spinat.jpg;Spinatspätzle;Green Spinach Spaetzle, vibrant green color, served with a creamy ham sauce, white plate, fresh spinach leaf garnish
spaetzle_leber.jpg;Leberspätzle;Liver Spaetzle Soup, brownish irregular noodles floating in clear beef broth with chives, traditional soup bowl
spaetzle_kraeuter.jpg;Kräuterspätzle;Herb Spaetzle, speckles of green herbs visible in the dough, served as a side dish, fresh and light look
spaetzle_schupfnudeln.jpg;Schupfnudeln;Schupfnudeln (Finger Noodles), golden brown pan-fried potato noodles mixed with sauerkraut and bacon bits, rustic pan
spaetzle_galuska.jpg;Galuska;Hungarian Galuska dumplings, simple irregular flour dumplings, served with chicken paprikash sauce, rustic style
spaetzle_halusky.jpg;Halusky;Slovak Bryndzove Halusky, small potato dumplings covered in white sheep cheese sauce and topped with crispy bacon bits
spaetzle_tarhonya.jpg;Tarhonya;Hungarian Tarhonya, small dried egg barley pasta grains, raw in a wooden scoop and cooked in a bowl, rustic texture

Dateiname;Thema;Prompt
pasta_header.jpg;Header: Pasta Making;Artisan making fresh pasta on a wooden table, flour dusting, eggs, rolling pin, sheets of yellow dough, cinematic lighting, warm tones, 8k --ar 16:9
pasta_spaghetti.jpg;Spaghetti;Fork twirling spaghetti with simple tomato basil sauce, steam rising, parmesan sprinkle, dark background, macro shot
pasta_rigatoni.jpg;Rigatoni;Bowl of Rigatoni pasta with chunky meat ragu sauce, sauce caught inside the tubes, fresh basil leaf on top, rustic style
pasta_fusilli.jpg;Fusilli;Fusilli pasta coated in green pesto genovese, pine nuts scattered, bright natural light, top down view
pasta_orecchiette.jpg;Orecchiette;Orecchiette pasta with broccoli rabe and sausage crumbles, olive oil glistening in the small ear-shaped hollows, southern italian style
pasta_tagliatelle.jpg;Tagliatelle;Nest of fresh raw tagliatelle egg pasta, dusted with flour, yellow rich color, texture visible, wooden board background
pasta_ravioli.jpg;Ravioli;Homemade Ravioli with serrated edges, filled with ricotta and spinach, served with sage butter sauce, golden brown sear marks
pasta_tortellini.jpg;Tortellini;Small Tortellini in clear golden broth (brodo), floating with some fat droplets, elegant spoon lifting one up, traditional bologna style
pasta_lasagne.jpg;Lasagne;Slice of Lasagne al Forno on a plate, showing distinct layers of pasta ragu and bechamel, crispy burnt cheese edges, rich and hearty
