status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;1;100g Halbweissmehl, 70g Wasser, 1g Hefe (frisch);Vorteig (Hebel) ansetzen: Hefe im Wasser auflösen, Mehl einrühren. Abgedeckt bei Raumtemperatur ca. 12-16 Stunden reifen lassen.;Mischen,Fermentieren;10 Min + 12h Ruhe;BASLER-01_step1_hebel.jpg;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;2;Reifer Vorteig, 400g Halbweissmehl, 260g Wasser (kalt), 10g Hefe (frisch);Hauptteig mischen: Vorteig mit Mehl, Wasser und Hefe in die Knetmaschine geben. 5 Minuten auf langsamer Stufe mischen.;Mischen;5 Min;null;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;3;12g Salz;Kneten: Salz hinzufügen. Auf schnellerer Stufe ca. 10-12 Minuten auskneten, bis sich der Teig gut vom Schüsselrand löst (Fenstertest). Der Teig ist eher weich.;Kneten;12 Min;null;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;4;Keine;Stockgare: Den Teig in eine geölte Wanne geben und abgedeckt 90 Minuten ruhen lassen. Nach 45 Minuten einmal dehnen und falten (Stretch & Fold).;Gären,Falten;90 Min;null;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;5;Roggenmehl oder Halbweissmehl zum Bestäuben;Aufarbeiten: Teig auf eine bemehlte Arbeitsfläche kippen. In zwei gleich grosse Stücke teilen. Schonend zu zwei länglichen Laiben vorformen, kurz entspannen lassen, dann final langwirken.;Formen,Teilen;10 Min;BASLER-01_step5_form.jpg;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;6;Keine;Zusammensetzen: Die beiden Laibe an den kurzen Enden (stirnseitig) aneinanderdrücken, sodass ein langes Doppelbrot entsteht. Auf ein bemehltes Leinentuch setzen.;Formen;5 Min;null;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;7;Keine;Stückgare: Abgedeckt ca. 30-45 Minuten bei Raumtemperatur gehen lassen, bis sich das Volumen deutlich vergrössert hat. Ofen rechtzeitig auf 250°C (Ober-/Unterhitze) mit Backstein vorheizen.;Gären;45 Min;null;Traditionell
active;CH-BS-001;BASLER-01;1;Baslerbrot;Schweizer Kantonalbrote;8;Wasser (für Schwaden);Backen: Brot einschiessen und kräftig bedampfen (Schwaden). Nach 10 Minuten Dampf ablassen und Temperatur auf 220°C reduzieren. Weitere 35-40 Minuten kräftig dunkel ausbacken für eine rösche Kruste.;Backen,Bedampfen;50 Min;BASLER-01_step8_fertig.jpg;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;1;100g Ruchmehl, 70g Wasser, 1g Hefe (frisch);Vorteig (Hebel) ansetzen: Hefe im Wasser auflösen, Mehl einrühren. Abgedeckt bei Raumtemperatur ca. 12-16 Stunden reifen lassen.;Mischen,Fermentieren;10 Min + 12h Ruhe;SOLO-01_step1_hebel.jpg;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;2;Reifer Vorteig, 400g Ruchmehl, 270g Wasser (kalt), 10g Hefe (frisch);Hauptteig mischen: Vorteig, Mehl, Wasser und Hefe in die Knetmaschine geben. 5 Minuten auf langsamer Stufe mischen.;Mischen;5 Min;null;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;3;12g Salz;Kneten: Salz beigeben. Auf schnellerer Stufe ca. 10-15 Minuten intensiv auskneten (Fenstertest). Ruchmehl braucht oft etwas länger als Weissmehl.;Kneten;15 Min;null;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;4;Keine;Stockgare: Teig in eine geölte Wanne geben. 90 Minuten ruhen lassen. Nach 45 Minuten einmal dehnen und falten.;Gären,Falten;90 Min;null;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;5;Ruchmehl zum Aufarbeiten;Formen: Teig auf bemehlte Arbeitsfläche geben. In Stücke teilen (ca. 400-500g). Rundwirken, kurz entspannen lassen. Dann langwirken. WICHTIG: Einen Teil des Teigs (ca. 1/3) der Länge nach über den restlichen Leib schlagen/falten und andrücken, sodass eine "Lippe" entsteht.;Formen,Falten;15 Min;SOLO-01_step5_form.jpg;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;6;Keine;Stückgare: Mit dem Schluss (der gefalteten Seite) nach OBEN in ein bemehltes Leinentuch legen. Ca. 30-40 Minuten garen lassen.;Gären;40 Min;null;Traditionell
active;CH-SO-001;SOLO-01;1;Solothurner Brot;Schweizer Kantonalbrote;7;Wasser (Schwaden);Backen: Ofen auf 250°C vorheizen. Teiglinge vorsichtig wenden (Falt-Seite nun seitlich/unten, glatte Seite oben? Nein, traditionell reisst es an der Faltkante auf). Auf den Schieber setzen. NICHT einschneiden. Mit Dampf backen (ca. 45-50 Min), fallend auf 220°C. Der "Kropf" entsteht durch den Ausbund an der gefalteten Stelle.;Backen,Bedampfen;50 Min;SOLO-01_step7_fertig.jpg;Traditionell
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;1;50g Sonnenblumenkerne, 30g Leinsamen, 20g Sesam, 100g Wasser (kochend);Brühstück (Quellstück) herstellen: Die Kerne und Samen in einer Schüssel mischen und mit dem kochenden Wasser übergiessen. Abgedeckt mind. 3 Stunden (oder über Nacht) quellen lassen.;Quellen;5 Min + 3h Ruhe;ALPEN-01_step1_soaker.jpg;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;2;100g Ruchmehl, 100g Wasser, 1g Hefe;Vorteig ansetzen: Hefe im Wasser lösen, Mehl einrühren. Abgedeckt 12-16 Stunden bei Raumtemperatur reifen lassen (für Aroma und Frischhaltung).;Mischen,Fermentieren;10 Min + 12h Ruhe;ALPEN-01_step2_hebel.jpg;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;3;Reifer Vorteig, Quellstück, 250g Ruchmehl, 100g Roggenmehl (hell oder dunkel), 150g Wasser, 10g Hefe, 1 TL Malz (optional für Farbe);Hauptteig mischen: Alle Zutaten ausser Salz in die Knetmaschine geben. 6 Minuten langsam mischen. (Achtung: Durch den Roggen klebt der Teig mehr).;Mischen;6 Min;null;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;4;13g Salz;Kneten: Salz hinzufügen. Ca. 8-10 Minuten auf schnellerer Stufe kneten. Der Teig sollte sich von der Schüssel lösen, bleibt aber durch den Roggen etwas klebriger als reiner Weizenteig.;Kneten;10 Min;null;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;5;Keine;Stockgare: Teig in eine geölte Wanne geben. 60-90 Minuten ruhen lassen. Einmal nach 45 Minuten dehnen und falten, um Struktur aufzubauen.;Gären,Falten;90 Min;null;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;6;Ruchmehl oder Roggenmehl zum Bestäuben;Formen: Teig auf bemehlte Fläche kippen. Zu einem runden oder leicht ovalen Laib wirken. Für die typische "Alpen"-Optik den Laib gut bemehlen.;Formen;10 Min;ALPEN-01_step6_form.jpg;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;7;Keine;Stückgare: Mit dem Schluss nach unten auf ein Backblech oder in ein Gärkörbchen legen. Ca. 45 Minuten gehen lassen, bis sich Risse an der bemehlten Oberfläche zeigen (Rustikal-Effekt).;Gären;45 Min;null;
active;CH-MIG-001;ALPEN-01;1;Alpenbrot;Spezialbrote;8;Wasser (Schwaden);Backen: Ofen auf 250°C vorheizen. Teigling einschneiden (z.B. Rautenmuster oder ein tiefer Längsschnitt) oder wild aufreissen lassen. Mit Dampf einschiessen. Nach 10 Min auf 210°C reduzieren und kräftig ausbacken (ca. 50 Min gesamt).;Backen,Bedampfen;50 Min;ALPEN-01_step8_fertig.jpg;
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;1;100g Halbweissmehl, 100g Wasser, 2g Hefe (frisch);Vorteig (Poolish) ansetzen: Hefe im Wasser auflösen, Mehl einrühren (konsistenz wie Pfannkuchenteig). Abgedeckt 12-24 Stunden im Kühlschrank (oder 12h Raumtemp.) reifen lassen.;Mischen,Fermentieren;5 Min + 12h Ruhe;BUERLI-01_step1_poolish.jpg;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;2;Reifer Vorteig, 400g Halbweissmehl, 230g Wasser (kalt), 10g Hefe (frisch);Hauptteig mischen: Alle Zutaten ausser Salz in die Knetmaschine geben. 5 Minuten langsam mischen. Der Teig wird sehr weich sein!;Mischen;5 Min;null;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;3;10-12g Salz;Kneten: Salz hinzufügen. Auf schneller Stufe 10-15 Minuten intensiv auskneten, bis sich der Teig vom Schüsselrand löst (Fenstertest ist zwingend).;Kneten;15 Min;null;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;4;Keine;Stockgare: Teig in eine geölte Wanne geben. 60-90 Minuten gehen lassen. Nach 30 und 60 Minuten jeweils dehnen und falten (Stretch & Fold), um dem weichen Teig Stabilität zu geben.;Gären,Falten;90 Min;null;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;5;Halbweissmehl (viel, zum Aufarbeiten);Aufarbeiten: Teig vorsichtig auf eine sehr gut bemehlte Arbeitsfläche kippen (nicht entgasen!). Mit einer Teigkarte ca. 80-100g schwere Stücke abstechen. Nicht zu stark formen, eher rustikal rund "zusammenschieben".;Teilen,Formen;15 Min;BUERLI-01_step5_divide.jpg;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;6;Keine;Paare bilden: Immer zwei Teiglinge auf dem Backpapier/Schieber so aneinanderlegen, dass sie sich berühren ("küssen"). Das ist entscheidend für die weiche Seite.;Formen;5 Min;null;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;7;Keine;Stückgare: Nur kurz! Ca. 15-20 Minuten abgedeckt entspannen lassen. Währenddessen Ofen auf 250°C (mit Backstein) maximal vorheizen.;Gären;20 Min;null;Traditionell
active;CH-SG-001;BUERLI-01;1;St. Galler Bürli;Kleinbrote;8;Viel Wasser (Schwaden);Backen: Bürli einschiessen und sofort sehr kräftig bedampfen. Temperatur konstant hoch halten (mind. 230-240°C). Backzeit ca. 20-25 Minuten, bis sie dunkelbraun und röstig sind.;Backen,Bedampfen;25 Min;BUERLI-01_step8_fertig.jpg;Traditionell
active;CH-SPEC-001;HOLZ-HELL;1;Helles Holzfällerbrot;Spezialbrote;1;500g Halbweissmehl, 50g Roggenmehl, 350g Wasser, 10g Hefe, 12g Salz;Teigherstellung (Direktführung): Alle Zutaten mischen und intensiv kneten (ca. 10 Min), bis der Teig elastisch ist. Teigtemperatur sollte ca 24°C sein.;Kneten;15 Min;HOLZ-HELL_step1_dough.jpg;Bäckerei-Standard
active;CH-SPEC-001;HOLZ-HELL;1;Helles Holzfällerbrot;Spezialbrote;2;Keine;Gare & Formen: 60 Min Stockgare. Danach zu einem runden Laib formen. Oberfläche befeuchten und in Mehl wälzen für rustikale Optik. Kreuzweise einschneiden.;Gären,Formen;70 Min;null;Bäckerei-Standard
active;CH-SPEC-001;HOLZ-HELL;1;Helles Holzfällerbrot;Spezialbrote;3;Keine;Backen: Bei 230°C mit Dampf ca. 45-50 Min backen. Kruste soll goldgelb und kräftig sein.;Backen;50 Min;HOLZ-HELL_step3_fertig.jpg;Bäckerei-Standard
active;CH-SPEC-002;HOLZ-DKL;1;Dunkles/Rustikales Holzfällerbrot;Spezialbrote;1;300g Ruchmehl, 200g Roggenmehl, 380g Wasser, 15g Hefe, 12g Salz, 1 EL Malz, (evtl. Brotgewürz);Mischen: Aufgrund des hohen Roggenanteils nur kurz intensiv kneten (ca. 6-8 Min). Der Teig bleibt klebrig.;Mischen,Kneten;10 Min;HOLZ-DKL_step1_dough.jpg;Bäckerei-Standard
active;CH-SPEC-002;HOLZ-DKL;1;Dunkles/Rustikales Holzfällerbrot;Spezialbrote;2;Roggenmehl (zum Wälzen);Aufarbeiten: 60 Min Gare. Teig rundwirken (Schluss darf unsauber sein für Rustikal-Look). Nass machen und in Roggenmehl wälzen. Nicht einschneiden, sondern wild aufreissen lassen ("Ausbund").;Gären,Formen;70 Min;null;Bäckerei-Standard
active;CH-SPEC-002;HOLZ-DKL;1;Dunkles/Rustikales Holzfällerbrot;Spezialbrote;3;Keine;Backen: Heiss anbacken (250°C), Dampf geben. Nach 10 Min auf 210°C fallen lassen. Backzeit ca. 50-60 Min. Gut ausbacken!;Backen;60 Min;HOLZ-DKL_step3_fertig.jpg;Bäckerei-Standard
active;CH-TI-002;MAGGIA-01;1;Pane Valle Maggia;Tessiner Brote;1;150g Ruchmehl, 100g Wasser, 1g Hefe;Vorteig (Biga): Zutaten mischen (fester Teig). 12-16 Stunden bei 16-18°C reifen lassen. Bringt die Säure und Haltbarkeit.;Fermentieren;12h Ruhe;MAGGIA-01_step1_biga.jpg;Traditionell
active;CH-TI-002;MAGGIA-01;1;Pane Valle Maggia;Tessiner Brote;2;Reifer Biga, 350g Halbweissmehl, 50g Roggenmehl, 320g Wasser, 12g Salz, 8g Hefe;Hauptteig: Alles mischen und sehr gut auskneten. Der Teig ist weich (hohe Hydration).;Kneten;15 Min;null;Traditionell
active;CH-TI-002;MAGGIA-01;1;Pane Valle Maggia;Tessiner Brote;3;Keine;Gare & Formen: 90 Min Stockgare (1x falten). Vorsichtig zu zwei ovalen Laiben formen, nicht zu stark entgasen. Dunkel ausbacken bei 240°C fallend auf 220°C (ca. 45 Min).;Gären,Backen;2 Std;MAGGIA-01_step3_fertig.jpg;Traditionell
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;1;500g Mehl (Halbweiss für hell / Ruch+Körner für rustikal), 380g Wasser (kalt), 10g Salz, 3g Hefe;Teig (Lange Führung): Alle Zutaten nur kurz mischen/kneten. In eine geölte Wanne legen. Im Kühlschrank 12-24h gehen lassen (Cold Proof).;Mischen,Kühlen;10 Min + 12h;WURZEL-01_step1_dough.jpg;Modern
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;2;Viel Mehl zum Bestäuben;Formen (Zwirbeln): Teig auf gut bemehlte Fläche kippen. In 2-3 Streifen schneiden. Die Streifen in sich verdrehen (tordieren) wie eine Wurzel. Aufs Blech legen.;Formen,Tordieren;10 Min;null;Modern
active;CH-WURZ-001;WURZEL-01;1;Wurzelbrot (Klassisch & Rustikal);Spezialbrote;3;Keine;Backen: Bei 240°C mit viel Dampf ca. 25-30 Min backen. Keine Stückgare nötig, direkt in den Ofen!;Backen;30 Min;WURZEL-01_step3_fertig.jpg;Modern
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;1;400g Weizenmehl 550/Halbweiss, 300g Wasser, 1g Trockenhefe, 8g Salz;Mischen: Alle Zutaten in einer Schüssel mit einem Löffel verrühren, bis kein trockenes Mehl mehr zu sehen ist. Nicht kneten!;Mischen;5 Min;null;Jim Lahey Style
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;2;Keine;Reifen: Schüssel abdecken und 12-18 Stunden bei Raumtemperatur stehen lassen. Der Teig wirft Blasen und wobbelt.;Fermentieren;18 Std;null;Jim Lahey Style
active;CH-WURZ-002;NOKNEAD-01;1;Wurzelbrot (No Knead);Trendgebäck;3;Mehl;Formen & Backen: Teig auf bemehlte Fläche gleiten lassen, falten, in Form ziehen oder zwirbeln. Sofort bei 240°C (am besten im Gusseisentopf) 30 Min mit Deckel, 15 Min ohne Deckel backen.;Backen;45 Min;NOKNEAD-01_step3_fertig.jpg;Jim Lahey Style
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;1;500g Ruchmehl, 330g Wasser, 10g Hefe, 12g Salz;Teig: Klassische direkte Führung. Alles intensiv kneten (Fenstertest). Teigruhe 60-75 Min (1x falten).;Kneten,Gären;90 Min;AARGAU-01_step1_dough.jpg;Traditionell
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;2;Mehl zum Bestäuben;Formen: Rundwirken, dann leicht langstossen (oval). Mit dem Schluss nach unten garen lassen. Vor dem Backen 2-3 schräge Einschnitte anbringen.;Formen;10 Min;null;Traditionell
active;CH-AG-001;AARGAU-01;1;Aargauer Brot;Schweizer Kantonalbrote;3;Keine;Backen: Bei 240°C mit Dampf anbacken. Das Aargauer Brot zeichnet sich durch eine kräftige, rösche Kruste aus.;Backen;50 Min;AARGAU-01_step3_fertig.jpg;Traditionell
active;IT-CIAB-001;CIAB-01;1;Ciabatta (Original);Italienische Brote;1;150g Weizenmehl (Tipo 00 oder 550), 75g Wasser, 1g Hefe (frisch);Vorteig (Biga) ansetzen: Zutaten zu einem festen, krümeligen Teig verkneten. In einem hohen Gefäss luftdicht verschlossen 14-16 Stunden bei 16-18°C reifen lassen.;Fermentieren;10 Min + 14h Ruhe;CIAB-01_step1_biga.jpg;Traditionell
